Data for the current Ebola outbreak!
Population Size: 100
1 infected 109.
1 infected 80.
5 infected 104.
5 infected 73.
5 infected 51.
5 infected 57.
5 infected 27.
5 infected 58.
5 infected 79.
5 infected 33.
5 infected 69.
5 infected 56.
8 infected 15.
8 infected 95.
8 infected 35.
8 infected 83.
8 infected 98.
2 infected 65.
2 infected 43.
2 infected 43.
2 infected 23.
2 infected 32.
9 infected 43.
9 infected 103.
9 infected 62.
9 infected 98.
9 infected 70.
0 infected 58.
0 infected 84.
0 infected 12.
0 infected 85.
0 infected 109.
109 infected 66.
109 infected 33.
109 infected 8.
109 infected 54.
109 infected 82.
5 infected 3.
5 infected 16.
5 infected 12.
5 infected 29.
5 infected 58.
5 infected 106.
5 infected 14.
5 infected 15.
5 infected 70.
5 infected 91.
6 infected 37.
6 infected 16.
6 infected 44.
6 infected 39.
6 infected 57.
0 infected 55.
0 infected 70.
0 infected 10.
0 infected 64.
0 infected 23.
7 infected 50.
7 infected 104.
7 infected 65.
7 infected 24.
7 infected 18.
2 infected 107.
2 infected 87.
2 infected 28.
2 infected 99.
2 infected 2.
2 infected 95.
2 infected 45.
2 infected 67.
2 infected 76.
2 infected 99.
8 infected 19.
8 infected 72.
8 infected 67.
8 infected 67.
8 infected 6.
1 infected 46.
1 infected 69.
1 infected 29.
1 infected 88.
1 infected 67.
2 infected 21.
2 infected 47.
2 infected 20.
2 infected 12.
2 infected 87.
5 infected 21.
5 infected 81.
5 infected 81.
5 infected 109.
5 infected 107.
7 infected 96.
7 infected 91.
7 infected 19.
7 infected 69.
7 infected 78.
3 infected 54.
3 infected 109.
3 infected 6.
3 infected 51.
3 infected 37.
9 infected 49.
9 infected 66.
9 infected 53.
9 infected 60.
9 infected 59.
5 infected 41.
5 infected 17.
5 infected 92.
5 infected 38.
5 infected 0.
8 infected 90.
8 infected 71.
8 infected 85.
8 infected 39.
8 infected 26.
0 infected 93.
0 infected 78.
0 infected 76.
0 infected 8.
0 infected 52.
108 infected 17.
108 infected 18.
108 infected 61.
108 infected 105.
108 infected 20.
109 infected 97.
109 infected 103.
109 infected 31.
109 infected 50.
109 infected 100.
3 infected 20.
3 infected 82.
3 infected 53.
3 infected 50.
3 infected 75.
9 infected 24.
9 infected 31.
9 infected 106.
9 infected 44.
9 infected 9.
3 infected 35.
3 infected 17.
3 infected 51.
3 infected 15.
3 infected 92.
9 infected 94.
9 infected 74.
9 infected 86.
9 infected 19.
9 infected 26.
1 infected 56.
1 infected 18.
1 infected 86.
1 infected 35.
1 infected 97.
4 infected 41.
4 infected 1.
4 infected 66.
4 infected 39.
4 infected 67.
1 infected 13.
1 infected 98.
1 infected 80.
1 infected 76.
1 infected 60.
7 infected 29.
7 infected 84.
7 infected 56.
7 infected 38.
7 infected 105.
9 infected 15.
9 infected 69.
9 infected 95.
9 infected 78.
9 infected 58.
108 infected 19.
108 infected 9.
108 infected 96.
108 infected 92.
108 infected 43.
8 infected 34.
8 infected 5.
8 infected 32.
8 infected 14.
8 infected 80.
4 infected 59.
4 infected 54.
4 infected 74.
4 infected 21.
4 infected 90.
5 infected 88.
5 infected 101.
5 infected 62.
5 infected 97.
5 infected 37.
5 infected 28.
5 infected 66.
5 infected 13.
5 infected 11.
5 infected 93.
3 infected 77.
3 infected 76.
3 infected 46.
3 infected 30.
3 infected 108.
109 infected 107.
109 infected 89.
109 infected 55.
109 infected 53.
109 infected 7.
1 infected 98.
1 infected 35.
1 infected 107.
1 infected 92.
1 infected 93.
8 infected 35.
8 infected 32.
8 infected 81.
8 infected 65.
8 infected 42.
9 infected 53.
9 infected 85.
9 infected 107.
9 infected 32.
9 infected 45.
5 infected 10.
5 infected 1.
5 infected 103.
5 infected 62.
5 infected 31.
109 infected 74.
109 infected 63.
109 infected 28.
109 infected 75.
109 infected 55.
108 infected 85.
108 infected 34.
108 infected 13.
108 infected 99.
108 infected 105.
5 infected 90.
5 infected 62.
5 infected 71.
5 infected 77.
5 infected 107.
1 infected 72.
1 infected 48.
1 infected 77.
1 infected 66.
1 infected 85.
109 infected 48.
109 infected 5.
109 infected 75.
109 infected 107.
109 infected 101.
8 infected 82.
8 infected 12.
8 infected 73.
8 infected 12.
8 infected 15.
4 infected 97.
4 infected 30.
4 infected 46.
4 infected 74.
4 infected 86.
6 infected 90.
6 infected 77.
6 infected 53.
6 infected 104.
6 infected 50.
8 infected 91.
8 infected 95.
8 infected 5.
8 infected 100.
8 infected 56.
6 infected 109.
6 infected 66.
6 infected 4.
6 infected 104.
6 infected 103.
1 infected 80.
1 infected 95.
1 infected 99.
1 infected 55.
1 infected 85.
1 infected 3.
1 infected 23.
1 infected 3.
1 infected 42.
1 infected 12.
109 infected 37.
109 infected 52.
109 infected 102.
109 infected 3.
109 infected 108.
4 infected 45.
4 infected 104.
4 infected 87.
4 infected 44.
4 infected 45.
1 infected 31.
1 infected 35.
1 infected 57.
1 infected 100.
1 infected 6.
2 infected 89.
2 infected 81.
2 infected 33.
2 infected 98.
2 infected 101.
108 infected 20.
108 infected 26.
108 infected 71.
108 infected 98.
108 infected 70.
109 infected 82.
109 infected 41.
109 infected 94.
109 infected 51.
109 infected 96.
2 infected 44.
2 infected 99.
2 infected 104.
2 infected 22.
2 infected 108.
4 infected 11.
4 infected 42.
4 infected 45.
4 infected 78.
4 infected 68.
109 infected 94.
109 infected 103.
109 infected 107.
109 infected 29.
109 infected 40.
109 infected 106.
109 infected 39.
109 infected 12.
109 infected 92.
109 infected 11.
4 infected 81.
4 infected 51.
4 infected 40.
4 infected 79.
4 infected 63.
3 infected 81.
3 infected 23.
3 infected 96.
3 infected 48.
3 infected 25.
3 infected 33.
3 infected 109.
3 infected 44.
3 infected 43.
3 infected 103.
6 infected 56.
6 infected 46.
6 infected 96.
6 infected 20.
6 infected 21.
2 infected 41.
2 infected 2.
2 infected 74.
2 infected 39.
2 infected 64.
9 infected 89.
9 infected 82.
9 infected 71.
9 infected 37.
9 infected 96.
2 infected 71.
2 infected 68.
2 infected 22.
2 infected 50.
2 infected 79.
9 infected 89.
9 infected 9.
9 infected 11.
9 infected 91.
9 infected 76.
109 infected 84.
109 infected 51.
109 infected 109.
109 infected 91.
109 infected 43.
0 infected 68.
0 infected 45.
0 infected 50.
0 infected 17.
0 infected 49.
3 infected 13.
3 infected 108.
3 infected 104.
3 infected 102.
3 infected 37.
3 infected 78.
3 infected 72.
3 infected 10.
3 infected 41.
3 infected 28.
8 infected 56.
8 infected 105.
8 infected 5.
8 infected 19.
8 infected 85.
3 infected 35.
3 infected 3.
3 infected 106.
3 infected 88.
3 infected 28.
9 infected 31.
9 infected 28.
9 infected 56.
9 infected 82.
9 infected 103.
1 infected 27.
1 infected 18.
1 infected 1.
1 infected 2.
1 infected 61.
8 infected 107.
8 infected 56.
8 infected 53.
8 infected 71.
8 infected 70.
9 infected 72.
9 infected 24.
9 infected 52.
9 infected 23.
9 infected 108.
2 infected 51.
2 infected 80.
2 infected 73.
2 infected 49.
2 infected 95.
109 infected 33.
109 infected 90.
109 infected 101.
109 infected 46.
109 infected 102.
5 infected 102.
5 infected 33.
5 infected 55.
5 infected 47.
5 infected 46.
2 infected 30.
2 infected 40.
2 infected 69.
2 infected 45.
2 infected 9.
6 infected 17.
6 infected 41.
6 infected 105.
6 infected 89.
6 infected 31.
108 infected 101.
108 infected 68.
108 infected 74.
108 infected 16.
108 infected 12.
3 infected 100.
3 infected 64.
3 infected 90.
3 infected 60.
3 infected 68.
1 infected 40.
1 infected 13.
1 infected 103.
1 infected 105.
1 infected 77.
6 infected 29.
6 infected 92.
6 infected 44.
6 infected 91.
6 infected 89.
5 infected 82.
5 infected 70.
5 infected 105.
5 infected 28.
5 infected 59.
9 infected 34.
9 infected 73.
9 infected 107.
9 infected 6.
9 infected 56.
109 infected 63.
109 infected 75.
109 infected 55.
109 infected 8.
109 infected 21.
9 infected 2.
9 infected 71.
9 infected 83.
9 infected 7.
9 infected 61.
7 infected 90.
7 infected 18.
7 infected 8.
7 infected 8.
7 infected 35.
109 infected 72.
109 infected 32.
109 infected 93.
109 infected 3.
109 infected 62.
108 infected 55.
108 infected 90.
108 infected 97.
108 infected 17.
108 infected 50.
8 infected 27.
8 infected 84.
8 infected 57.
8 infected 39.
8 infected 68.
3 infected 89.
3 infected 86.
3 infected 38.
3 infected 42.
3 infected 29.
6 infected 72.
6 infected 102.
6 infected 65.
6 infected 52.
6 infected 18.
6 infected 98.
6 infected 69.
6 infected 87.
6 infected 75.
6 infected 40.
6 infected 0.
6 infected 6.
6 infected 45.
6 infected 75.
6 infected 15.
8 infected 99.
8 infected 9.
8 infected 67.
8 infected 52.
8 infected 93.
0 infected 20.
0 infected 93.
0 infected 24.
0 infected 31.
0 infected 76.
8 infected 99.
8 infected 97.
8 infected 22.
8 infected 106.
8 infected 23.
1 infected 3.
1 infected 63.
1 infected 93.
1 infected 15.
1 infected 42.
2 infected 11.
2 infected 12.
2 infected 51.
2 infected 73.
2 infected 89.
9 infected 87.
9 infected 49.
9 infected 103.
9 infected 52.
9 infected 48.
109 infected 89.
109 infected 60.
109 infected 17.
109 infected 108.
109 infected 12.
0 infected 39.
0 infected 45.
0 infected 22.
0 infected 90.
0 infected 55.
2 infected 32.
2 infected 63.
2 infected 11.
2 infected 23.
2 infected 33.
109 infected 51.
109 infected 25.
109 infected 29.
109 infected 44.
109 infected 82.
3 infected 81.
3 infected 10.
3 infected 43.
3 infected 57.
3 infected 96.
5 infected 12.
5 infected 67.
5 infected 32.
5 infected 2.
5 infected 7.
1 infected 7.
1 infected 12.
1 infected 21.
1 infected 0.
1 infected 67.
1 infected 1.
1 infected 49.
1 infected 39.
1 infected 3.
1 infected 72.
6 infected 72.
6 infected 47.
6 infected 109.
6 infected 22.
6 infected 24.
0 infected 81.
0 infected 79.
0 infected 63.
0 infected 23.
0 infected 68.
0 infected 27.
0 infected 44.
0 infected 12.
0 infected 87.
0 infected 19.
109 infected 76.
109 infected 47.
109 infected 73.
109 infected 22.
109 infected 56.
4 infected 90.
4 infected 108.
4 infected 22.
4 infected 64.
4 infected 19.
0 infected 104.
0 infected 104.
0 infected 56.
0 infected 3.
0 infected 68.
6 infected 101.
6 infected 15.
6 infected 103.
6 infected 39.
6 infected 37.
7 infected 13.
7 infected 44.
7 infected 87.
7 infected 23.
7 infected 75.
109 infected 66.
109 infected 21.
109 infected 12.
109 infected 63.
109 infected 24.
8 infected 77.
8 infected 19.
8 infected 78.
8 infected 43.
8 infected 58.
108 infected 84.
108 infected 70.
108 infected 106.
108 infected 49.
108 infected 100.
109 infected 57.
109 infected 14.
109 infected 85.
109 infected 70.
109 infected 8.
2 infected 46.
2 infected 18.
2 infected 30.
2 infected 104.
2 infected 62.
3 infected 24.
3 infected 101.
3 infected 51.
3 infected 5.
3 infected 61.
1 infected 103.
1 infected 107.
1 infected 84.
1 infected 90.
1 infected 96.
4 infected 107.
4 infected 75.
4 infected 12.
4 infected 108.
4 infected 84.
8 infected 83.
8 infected 41.
8 infected 67.
8 infected 72.
8 infected 73.
8 infected 89.
8 infected 68.
8 infected 66.
8 infected 50.
8 infected 96.
8 infected 69.
8 infected 82.
8 infected 25.
8 infected 36.
8 infected 41.
9 infected 17.
9 infected 57.
9 infected 97.
9 infected 25.
9 infected 37.
3 infected 80.
3 infected 54.
3 infected 51.
3 infected 55.
3 infected 48.
0 infected 10.
0 infected 62.
0 infected 3.
0 infected 41.
0 infected 71.
9 infected 61.
9 infected 78.
9 infected 49.
9 infected 39.
9 infected 63.
109 infected 100.
109 infected 98.
109 infected 36.
109 infected 98.
109 infected 87.
8 infected 89.
8 infected 7.
8 infected 5.
8 infected 11.
8 infected 39.
9 infected 75.
9 infected 95.
9 infected 73.
9 infected 69.
9 infected 22.
6 infected 82.
6 infected 40.
6 infected 94.
6 infected 6.
6 infected 6.
2 infected 49.
2 infected 24.
2 infected 45.
2 infected 68.
2 infected 6.
9 infected 87.
9 infected 55.
9 infected 94.
9 infected 65.
9 infected 67.
109 infected 108.
109 infected 47.
109 infected 87.
109 infected 89.
109 infected 5.
7 infected 12.
7 infected 58.
7 infected 23.
7 infected 28.
7 infected 91.
3 infected 40.
3 infected 9.
3 infected 63.
3 infected 26.
3 infected 73.
7 infected 81.
7 infected 78.
7 infected 1.
7 infected 48.
7 infected 26.
7 infected 88.
7 infected 14.
7 infected 37.
7 infected 0.
7 infected 84.
4 infected 104.
4 infected 106.
4 infected 42.
4 infected 22.
4 infected 49.
5 infected 105.
5 infected 29.
5 infected 47.
5 infected 107.
5 infected 51.
2 infected 5.
2 infected 76.
2 infected 31.
2 infected 79.
2 infected 85.
6 infected 33.
6 infected 54.
6 infected 87.
6 infected 73.
6 infected 90.
7 infected 80.
7 infected 39.
7 infected 26.
7 infected 83.
7 infected 94.
1 infected 34.
1 infected 52.
1 infected 88.
1 infected 1.
1 infected 52.
7 infected 48.
7 infected 35.
7 infected 107.
7 infected 24.
7 infected 104.
5 infected 99.
5 infected 62.
5 infected 32.
5 infected 76.
5 infected 1.
9 infected 50.
9 infected 5.
9 infected 57.
9 infected 16.
9 infected 84.
109 infected 88.
109 infected 28.
109 infected 9.
109 infected 14.
109 infected 20.
6 infected 101.
6 infected 62.
6 infected 8.
6 infected 41.
6 infected 21.
2 infected 94.
2 infected 32.
2 infected 87.
2 infected 91.
2 infected 88.
4 infected 50.
4 infected 36.
4 infected 68.
4 infected 36.
4 infected 36.
7 infected 109.
7 infected 13.
7 infected 97.
7 infected 15.
7 infected 50.
5 infected 105.
5 infected 25.
5 infected 11.
5 infected 71.
5 infected 108.
6 infected 16.
6 infected 66.
6 infected 4.
6 infected 13.
6 infected 14.
4 infected 29.
4 infected 4.
4 infected 23.
4 infected 10.
4 infected 97.
3 infected 88.
3 infected 103.
3 infected 8.
3 infected 78.
3 infected 47.
1 infected 56.
1 infected 94.
1 infected 18.
1 infected 56.
1 infected 76.
4 infected 98.
4 infected 5.
4 infected 64.
4 infected 98.
4 infected 24.
1 infected 98.
1 infected 26.
1 infected 92.
1 infected 40.
1 infected 5.
108 infected 19.
108 infected 43.
108 infected 32.
108 infected 22.
108 infected 44.
2 infected 59.
2 infected 25.
2 infected 82.
2 infected 7.
2 infected 19.
108 infected 37.
108 infected 64.
108 infected 8.
108 infected 80.
108 infected 24.
7 infected 42.
7 infected 84.
7 infected 92.
7 infected 56.
7 infected 3.
8 infected 8.
8 infected 77.
8 infected 67.
8 infected 36.
8 infected 71.
6 infected 20.
6 infected 18.
6 infected 70.
6 infected 40.
6 infected 7.
4 infected 8.
4 infected 68.
4 infected 2.
4 infected 21.
4 infected 92.
5 infected 41.
5 infected 47.
5 infected 4.
5 infected 13.
5 infected 87.
2 infected 29.
2 infected 0.
2 infected 72.
2 infected 7.
2 infected 98.
5 infected 72.
5 infected 15.
5 infected 109.
5 infected 80.
5 infected 4.
9 infected 9.
9 infected 105.
9 infected 60.
9 infected 73.
9 infected 82.
9 infected 49.
9 infected 36.
9 infected 87.
9 infected 78.
9 infected 49.
9 infected 57.
9 infected 95.
9 infected 30.
9 infected 87.
9 infected 62.
3 infected 78.
3 infected 32.
3 infected 44.
3 infected 81.
3 infected 58.
3 infected 61.
3 infected 19.
3 infected 58.
3 infected 68.
3 infected 46.
5 infected 28.
5 infected 18.
5 infected 36.
5 infected 81.
5 infected 93.
3 infected 22.
3 infected 49.
3 infected 32.
3 infected 20.
3 infected 47.
4 infected 94.
4 infected 2.
4 infected 38.
4 infected 18.
4 infected 5.
6 infected 90.
6 infected 69.
6 infected 109.
6 infected 51.
6 infected 16.
1 infected 107.
1 infected 80.
1 infected 45.
1 infected 26.
1 infected 51.
3 infected 53.
3 infected 53.
3 infected 58.
3 infected 93.
3 infected 57.
9 infected 56.
9 infected 49.
9 infected 59.
9 infected 46.
9 infected 43.
5 infected 41.
5 infected 85.
5 infected 51.
5 infected 17.
5 infected 92.
0 infected 67.
0 infected 26.
0 infected 31.
0 infected 27.
0 infected 91.
6 infected 24.
6 infected 72.
6 infected 24.
6 infected 93.
6 infected 84.
3 infected 100.
3 infected 79.
3 infected 46.
3 infected 59.
3 infected 70.
0 infected 97.
0 infected 101.
0 infected 52.
0 infected 47.
0 infected 82.
3 infected 39.
3 infected 27.
3 infected 50.
3 infected 18.
3 infected 60.
108 infected 13.
108 infected 69.
108 infected 83.
108 infected 57.
108 infected 38.
9 infected 106.
9 infected 99.
9 infected 79.
9 infected 52.
9 infected 6.
4 infected 43.
4 infected 70.
4 infected 20.
4 infected 84.
4 infected 49.
1 infected 66.
1 infected 55.
1 infected 23.
1 infected 56.
1 infected 3.
0 infected 49.
0 infected 72.
0 infected 85.
0 infected 22.
0 infected 34.
4 infected 95.
4 infected 87.
4 infected 72.
4 infected 98.
4 infected 19.
3 infected 82.
3 infected 51.
3 infected 73.
3 infected 100.
3 infected 102.
7 infected 25.
7 infected 19.
7 infected 52.
7 infected 40.
7 infected 59.
6 infected 31.
6 infected 94.
6 infected 16.
6 infected 97.
6 infected 62.
5 infected 40.
5 infected 78.
5 infected 97.
5 infected 78.
5 infected 67.
8 infected 94.
8 infected 80.
8 infected 4.
8 infected 100.
8 infected 8.
1 infected 1.
1 infected 6.
1 infected 11.
1 infected 40.
1 infected 45.
5 infected 25.
5 infected 95.
5 infected 19.
5 infected 27.
5 infected 39.
3 infected 107.
3 infected 8.
3 infected 40.
3 infected 74.
3 infected 106.
4 infected 57.
4 infected 60.
4 infected 43.
4 infected 90.
4 infected 22.
9 infected 37.
9 infected 38.
9 infected 12.
9 infected 102.
9 infected 71.
2 infected 20.
2 infected 19.
2 infected 20.
2 infected 53.
2 infected 15.
109 infected 68.
109 infected 79.
109 infected 52.
109 infected 20.
109 infected 71.
2 infected 70.
2 infected 80.
2 infected 60.
2 infected 89.
2 infected 35.
3 infected 88.
3 infected 108.
3 infected 14.
3 infected 84.
3 infected 18.
4 infected 56.
4 infected 12.
4 infected 96.
4 infected 5.
4 infected 48.
0 infected 60.
0 infected 48.
0 infected 61.
0 infected 21.
0 infected 98.
9 infected 2.
9 infected 104.
9 infected 46.
9 infected 56.
9 infected 74.
1 infected 73.
1 infected 23.
1 infected 57.
1 infected 2.
1 infected 85.
1 infected 72.
1 infected 44.
1 infected 43.
1 infected 10.
1 infected 47.
1 infected 8.
1 infected 79.
1 infected 38.
1 infected 86.
1 infected 50.
0 infected 19.
0 infected 14.
0 infected 101.
0 infected 85.
0 infected 25.
7 infected 81.
7 infected 41.
7 infected 37.
7 infected 91.
7 infected 101.
8 infected 100.
8 infected 10.
8 infected 45.
8 infected 77.
8 infected 102.
9 infected 63.
9 infected 2.
9 infected 75.
9 infected 53.
9 infected 21.
109 infected 46.
109 infected 108.
109 infected 65.
109 infected 35.
109 infected 66.
0 infected 3.
0 infected 21.
0 infected 6.
0 infected 89.
0 infected 39.
6 infected 33.
6 infected 57.
6 infected 55.
6 infected 43.
6 infected 5.
109 infected 97.
109 infected 84.
109 infected 58.
109 infected 84.
109 infected 10.
1 infected 42.
1 infected 70.
1 infected 4.
1 infected 79.
1 infected 1.
0 infected 2.
0 infected 25.
0 infected 60.
0 infected 48.
0 infected 49.
1 infected 4.
1 infected 34.
1 infected 89.
1 infected 48.
1 infected 42.
4 infected 46.
4 infected 102.
4 infected 65.
4 infected 109.
4 infected 54.
4 infected 52.
4 infected 90.
4 infected 43.
4 infected 16.
4 infected 44.
108 infected 92.
108 infected 33.
108 infected 70.
108 infected 24.
108 infected 62.
108 infected 36.
108 infected 34.
108 infected 10.
108 infected 57.
108 infected 85.
7 infected 10.
7 infected 103.
7 infected 85.
7 infected 40.
7 infected 65.
109 infected 14.
109 infected 2.
109 infected 103.
109 infected 97.
109 infected 13.
109 infected 31.
109 infected 9.
109 infected 8.
109 infected 102.
109 infected 30.
2 infected 99.
2 infected 11.
2 infected 9.
2 infected 1.
2 infected 43.
7 infected 79.
7 infected 9.
7 infected 80.
7 infected 58.
7 infected 80.
5 infected 42.
5 infected 100.
5 infected 85.
5 infected 13.
5 infected 78.
0 infected 15.
0 infected 7.
0 infected 25.
0 infected 95.
0 infected 10.
1 infected 23.
1 infected 11.
1 infected 91.
1 infected 11.
1 infected 0.
6 infected 87.
6 infected 29.
6 infected 26.
6 infected 6.
6 infected 49.
4 infected 41.
4 infected 80.
4 infected 67.
4 infected 24.
4 infected 60.
1 infected 104.
1 infected 25.
1 infected 90.
1 infected 63.
1 infected 77.
2 infected 90.
2 infected 23.
2 infected 60.
2 infected 36.
2 infected 93.
3 infected 86.
3 infected 75.
3 infected 7.
3 infected 64.
3 infected 0.
0 infected 25.
0 infected 33.
0 infected 18.
0 infected 69.
0 infected 73.
109 infected 24.
109 infected 89.
109 infected 15.
109 infected 89.
109 infected 97.
0 infected 9.
0 infected 108.
0 infected 29.
0 infected 20.
0 infected 50.
9 infected 81.
9 infected 107.
9 infected 75.
9 infected 37.
9 infected 76.
3 infected 52.
3 infected 64.
3 infected 81.
3 infected 36.
3 infected 27.
0 infected 54.
0 infected 32.
0 infected 105.
0 infected 44.
0 infected 94.
9 infected 30.
9 infected 67.
9 infected 0.
9 infected 87.
9 infected 32.
5 infected 36.
5 infected 96.
5 infected 20.
5 infected 8.
5 infected 63.
4 infected 44.
4 infected 93.
4 infected 7.
4 infected 104.
4 infected 55.
1 infected 10.
1 infected 86.
1 infected 97.
1 infected 91.
1 infected 57.
1 infected 1.
1 infected 86.
1 infected 11.
1 infected 40.
1 infected 75.
6 infected 98.
6 infected 46.
6 infected 89.
6 infected 87.
6 infected 77.
108 infected 86.
108 infected 8.
108 infected 93.
108 infected 107.
108 infected 40.
0 infected 57.
0 infected 45.
0 infected 95.
0 infected 103.
0 infected 61.
6 infected 47.
6 infected 63.
6 infected 38.
6 infected 97.
6 infected 62.
5 infected 40.
5 infected 69.
5 infected 95.
5 infected 24.
5 infected 29.
3 infected 75.
3 infected 21.
3 infected 5.
3 infected 52.
3 infected 59.
2 infected 59.
2 infected 41.
2 infected 101.
2 infected 108.
2 infected 51.
4 infected 59.
4 infected 59.
4 infected 57.
4 infected 19.
4 infected 18.
4 infected 94.
4 infected 96.
4 infected 49.
4 infected 53.
4 infected 3.
5 infected 100.
5 infected 40.
5 infected 48.
5 infected 80.
5 infected 19.
4 infected 51.
4 infected 46.
4 infected 1.
4 infected 104.
4 infected 84.
2 infected 22.
2 infected 19.
2 infected 75.
2 infected 23.
2 infected 27.
6 infected 12.
6 infected 2.
6 infected 19.
6 infected 34.
6 infected 43.
5 infected 25.
5 infected 2.
5 infected 20.
5 infected 38.
5 infected 106.
0 infected 109.
0 infected 29.
0 infected 24.
0 infected 62.
0 infected 77.
8 infected 92.
8 infected 63.
8 infected 55.
8 infected 55.
8 infected 109.
1 infected 85.
1 infected 7.
1 infected 13.
1 infected 8.
1 infected 90.
4 infected 61.
4 infected 77.
4 infected 37.
4 infected 18.
4 infected 30.
3 infected 66.
3 infected 63.
3 infected 102.
3 infected 27.
3 infected 53.
108 infected 62.
108 infected 1.
108 infected 80.
108 infected 20.
108 infected 43.
109 infected 80.
109 infected 39.
109 infected 87.
109 infected 79.
109 infected 54.
0 infected 78.
0 infected 15.
0 infected 76.
0 infected 16.
0 infected 67.
3 infected 36.
3 infected 43.
3 infected 92.
3 infected 47.
3 infected 103.
2 infected 88.
2 infected 16.
2 infected 47.
2 infected 72.
2 infected 60.
8 infected 8.
8 infected 47.
8 infected 53.
8 infected 31.
8 infected 26.
4 infected 41.
4 infected 88.
4 infected 29.
4 infected 40.
4 infected 81.
3 infected 60.
3 infected 100.
3 infected 35.
3 infected 71.
3 infected 43.
7 infected 73.
7 infected 101.
7 infected 42.
7 infected 89.
7 infected 24.
5 infected 16.
5 infected 41.
5 infected 100.
5 infected 80.
5 infected 73.
108 infected 29.
108 infected 90.
108 infected 75.
108 infected 78.
108 infected 30.
9 infected 104.
9 infected 104.
9 infected 31.
9 infected 62.
9 infected 72.
3 infected 60.
3 infected 2.
3 infected 12.
3 infected 49.
3 infected 96.
109 infected 18.
109 infected 79.
109 infected 41.
109 infected 10.
109 infected 67.
1 infected 62.
1 infected 59.
1 infected 77.
1 infected 93.
1 infected 34.
109 infected 8.
109 infected 99.
109 infected 24.
109 infected 101.
109 infected 98.
1 infected 35.
1 infected 91.
1 infected 18.
1 infected 46.
1 infected 108.
8 infected 60.
8 infected 31.
8 infected 28.
8 infected 81.
8 infected 0.
4 infected 105.
4 infected 79.
4 infected 61.
4 infected 71.
4 infected 18.
8 infected 100.
8 infected 34.
8 infected 40.
8 infected 62.
8 infected 40.
7 infected 77.
7 infected 68.
7 infected 25.
7 infected 105.
7 infected 103.
109 infected 82.
109 infected 24.
109 infected 76.
109 infected 77.
109 infected 15.
7 infected 37.
7 infected 93.
7 infected 7.
7 infected 24.
7 infected 67.
6 infected 102.
6 infected 64.
6 infected 36.
6 infected 31.
6 infected 101.
9 infected 48.
9 infected 54.
9 infected 89.
9 infected 104.
9 infected 109.
1 infected 33.
1 infected 26.
1 infected 18.
1 infected 37.
1 infected 3.
0 infected 82.
0 infected 97.
0 infected 53.
0 infected 10.
0 infected 47.
0 infected 59.
0 infected 99.
0 infected 18.
0 infected 57.
0 infected 80.
109 infected 48.
109 infected 71.
109 infected 20.
109 infected 76.
109 infected 56.
3 infected 97.
3 infected 40.
3 infected 13.
3 infected 35.
3 infected 58.
109 infected 35.
109 infected 25.
109 infected 90.
109 infected 77.
109 infected 58.
9 infected 36.
9 infected 20.
9 infected 75.
9 infected 16.
9 infected 41.
7 infected 2.
7 infected 41.
7 infected 70.
7 infected 61.
7 infected 47.
9 infected 18.
9 infected 40.
9 infected 106.
9 infected 92.
9 infected 48.
2 infected 70.
2 infected 3.
2 infected 82.
2 infected 41.
2 infected 50.
109 infected 22.
109 infected 41.
109 infected 78.
109 infected 107.
109 infected 97.
2 infected 4.
2 infected 41.
2 infected 72.
2 infected 96.
2 infected 72.
2 infected 5.
2 infected 7.
2 infected 91.
2 infected 16.
2 infected 63.
9 infected 8.
9 infected 17.
9 infected 19.
9 infected 13.
9 infected 66.
2 infected 20.
2 infected 91.
2 infected 30.
2 infected 11.
2 infected 96.
0 infected 46.
0 infected 45.
0 infected 43.
0 infected 10.
0 infected 52.
2 infected 43.
2 infected 96.
2 infected 8.
2 infected 69.
2 infected 7.
109 infected 82.
109 infected 101.
109 infected 50.
109 infected 88.
109 infected 19.
3 infected 70.
3 infected 105.
3 infected 11.
3 infected 104.
3 infected 26.
108 infected 57.
108 infected 20.
108 infected 14.
108 infected 97.
108 infected 33.
8 infected 29.
8 infected 30.
8 infected 7.
8 infected 71.
8 infected 3.
3 infected 107.
3 infected 89.
3 infected 28.
3 infected 61.
3 infected 5.
3 infected 97.
3 infected 29.
3 infected 19.
3 infected 17.
3 infected 64.
6 infected 40.
6 infected 41.
6 infected 49.
6 infected 96.
6 infected 81.
2 infected 85.
2 infected 50.
2 infected 2.
2 infected 37.
2 infected 63.
109 infected 3.
109 infected 89.
109 infected 53.
109 infected 70.
109 infected 8.
8 infected 75.
8 infected 4.
8 infected 74.
8 infected 62.
8 infected 0.
108 infected 10.
108 infected 74.
108 infected 47.
108 infected 65.
108 infected 106.
5 infected 21.
5 infected 50.
5 infected 27.
5 infected 19.
5 infected 68.
1 infected 0.
1 infected 95.
1 infected 79.
1 infected 36.
1 infected 34.
4 infected 71.
4 infected 47.
4 infected 65.
4 infected 49.
4 infected 20.
3 infected 106.
3 infected 25.
3 infected 96.
3 infected 77.
3 infected 32.
5 infected 42.
5 infected 25.
5 infected 41.
5 infected 33.
5 infected 50.
1 infected 15.
1 infected 83.
1 infected 36.
1 infected 57.
1 infected 3.
8 infected 83.
8 infected 85.
8 infected 65.
8 infected 98.
8 infected 51.
109 infected 26.
109 infected 23.
109 infected 14.
109 infected 5.
109 infected 13.
